name,site,city,longitude,latitude
迈皋桥站,地铁1号线,南京,118.809677,32.102712
红山动物园站,地铁1号线,南京,118.802053,32.095774
南京站,地铁1号线,南京,118.797499,32.087104
新模范马路站,地铁1号线,南京,118.783714,32.079871
玄武门站,地铁1号线,南京,118.784221,32.070381
鼓楼站,地铁1号线,南京,118.783701,32.058667
珠江路站,地铁1号线,南京,118.784208,32.050974
新街口站,地铁1号线,南京,118.784136,32.041806
张府园站,地铁1号线,南京,118.783932,32.030963
三山街站,地铁1号线,南京,118.781583,32.023021
中华门站,地铁1号线,南京,118.778649,32.006166
安德门站,地铁1号线,南京,118.762001,31.992215
天隆寺站,地铁1号线,南京,118.763131,31.979272
软件大道站,地铁1号线,南京,118.774583,31.976727
花神庙站,地铁1号线,南京,118.785648,31.977795
南京南站,地铁1号线,南京,118.798128,31.968592
双龙大道站,地铁1号线,南京,118.817196,31.963833
河定桥站,地铁1号线,南京,118.820141,31.952092
胜太路站,地铁1号线,南京,118.821393,31.943549
百家湖站,地铁1号线,南京,118.820843,31.931941
小龙湾站,地铁1号线,南京,118.832734,31.929735
竹山路站,地铁1号线,南京,118.844454,31.931965
天印大道站,地铁1号线,南京,118.863561,31.937638
龙眠大道站,地铁1号线,南京,118.877156,31.939902
南医大江苏经贸学院站,地铁1号线,南京,118.890239,31.933475
南京交院站,地铁1号线,南京,118.904804,31.912860
中国药科大学站,地铁1号线,南京,118.914127,31.897684
南京南站,地铁S1号线,南京,118.798128,31.968592
翠屏山站,地铁S1号线,南京,118.785300,31.946081
河海大学佛城西路站,地铁S1号线,南京,118.791365,31.914086
吉印大道站,地铁S1号线,南京,118.795507,31.886166
正方中路站,地铁S1号线,南京,118.805809,31.845115
翔宇路北站,地铁S1号线,南京,118.821542,31.791284
翔宇路南站,地铁S1号线,南京,118.829201,31.754866
禄口机场站,地铁S1号线,南京,118.873817,31.730370
油坊桥站,地铁2号线,南京,118.721361,31.966454
雨润大街站,地铁2号线,南京,118.722613,31.983679
元通站,地铁2号线,南京,118.721449,31.995471
奥体东站,地铁2号线,南京,118.729234,32.004581
兴隆大街站,地铁2号线,南京,118.735943,32.015283
集庆门大街站,地铁2号线,南京,118.739580,32.028573
云锦路站,地铁2号线,南京,118.747323,32.034912
莫愁湖站,地铁2号线,南京,118.758964,32.037306
汉中门站,地铁2号线,南京,118.766962,32.042784
上海路站,地铁2号线,南京,118.776444,32.042270
新街口站,地铁2号线,南京,118.784136,32.041806
大行宫站,地铁2号线,南京,118.794787,32.041737
西安门站,地铁2号线,南京,118.805761,32.040108
明故宫站,地铁2号线,南京,118.819746,32.039218
苜蓿园站,地铁2号线,南京,118.835310,32.040239
下马坊站,地铁2号线,南京,118.848373,32.037578
孝陵卫站,地铁2号线,南京,118.858058,32.035416
钟灵街站,地铁2号线,南京,118.869395,32.039146
马群站,地铁2号线,南京,118.894656,32.049556
金马路站,地铁2号线,南京,118.906348,32.071699
仙鹤门站,地铁2号线,南京,118.904914,32.084911
学则路站,地铁2号线,南京,118.916885,32.091434
仙林中心站,地铁2号线,南京,118.930107,32.097752
羊山公园站,地铁2号线,南京,118.939971,32.103800
南大仙林校区站,地铁2号线,南京,118.959510,32.108763
经天路站,地铁2号线,南京,118.976654,32.116151
林场站,地铁3号线,南京,118.671334,32.163563
星火路站,地铁3号线,南京,118.696577,32.157273
东大成贤学院站,地铁3号线,南京,118.707888,32.156266
泰冯路站,地铁3号线,南京,118.718931,32.153441
天润城站,地铁3号线,南京,118.734078,32.150854
柳洲东路站,地铁3号线,南京,118.746237,32.139965
上元门站,地铁3号线,南京,118.769936,32.115477
五塘广场站,地铁3号线,南京,118.777686,32.110501
小市站,地铁3号线,南京,118.782666,32.100821
南京站,地铁3号线,南京,118.797499,32.087104
南京林业大学新庄站,地铁3号线,南京,118.810435,32.076463
鸡鸣寺站,地铁3号线,南京,118.798082,32.057266
浮桥华海3C广场站,地铁3号线,南京,118.797033,32.048599
大行宫站,地铁3号线,南京,118.794787,32.041737
常府街站,地铁3号线,南京,118.792317,32.033401
夫子庙站,地铁3号线,南京,118.790911,32.024119
武定门站,地铁3号线,南京,118.794632,32.013747
雨花门站,地铁3号线,南京,118.792454,32.003779
卡子门站,地铁3号线,南京,118.795514,31.995041
大明路站,地铁3号线,南京,118.799624,31.986114
明发广场站,地铁3号线,南京,118.800512,31.977050
南京南站,地铁3号线,南京,118.798128,31.968592
宏运大道站,地铁3号线,南京,118.804067,31.959019
胜太西路站,地铁3号线,南京,118.807434,31.943772
天元西路站,地铁3号线,南京,118.808591,31.927697
九龙湖站,地铁3号线,南京,118.821222,31.916035
诚信大道站,地铁3号线,南京,118.829894,31.907714
东大九龙湖校区站,地铁3号线,南京,118.830450,31.896037
秣周东路站,地铁3号线,南京,118.831022,31.868977
仙林湖站,地铁4号线,南京,118.992658,32.125509
西岗桦墅站,地铁4号线,南京,118.996482,32.098965
孟北站,地铁4号线,南京,118.987240,32.084468
东流站,地铁4号线,南京,118.964224,32.077173
灵山站,地铁4号线,南京,118.949479,32.075321
汇通路站,地铁4号线,南京,118.931631,32.078018
金马路站,地铁4号线,南京,118.906348,32.071699
苏宁总部徐庄站,地铁4号线,南京,118.889679,32.084861
聚宝山站,地铁4号线,南京,118.864212,32.093858
王家湾站,地铁4号线,南京,118.837855,32.085238
蒋王庙站,地铁4号线,南京,118.831148,32.077536
岗子村站,地铁4号线,南京,118.815835,32.065571
九华山站,地铁4号线,南京,118.806000,32.057314
鸡鸣寺站,地铁4号线,南京,118.798082,32.057266
鼓楼站,地铁4号线,南京,118.783701,32.058667
云南路站,地铁4号线,南京,118.774679,32.059117
南艺二师草场门站,地铁4号线,南京,118.755539,32.060351
龙江站,地铁4号线,南京,118.743488,32.06113
金牛湖站,地铁S8号线,南京,118.964703,32.465430
八百桥站,地铁S8号线,南京,118.933243,32.427050
沈桥站,地铁S8号线,南京,118.891854,32.399891
方州广场站,地铁S8号线,南京,118.850115,32.359539
凤凰山公园站,地铁S8号线,南京,118.845116,32.346842
雄州站,地铁S8号线,南京,118.836662,32.334610
龙池站,地铁S8号线,南京,118.820150,32.319014
六合开发区站,地铁S8号线,南京,118.805296,32.305162
化工园站,地铁S8号线,南京,118.785560,32.285380
长芦站,地铁S8号线,南京,118.776599,32.273454
葛塘站,地铁S8号线,南京,118.754363,32.244514
大厂站,地铁S8号线,南京,118.740131,32.228848
卸甲甸站,地铁S8号线,南京,118.730587,32.214756
信息工程大学站,地铁S8号线,南京,118.726862,32.202394
高新开发区站,地铁S8号线,南京,118.719487,32.177538
泰冯路站,地铁S8号线,南京,118.718931,32.153441
泰山新村站,地铁S8号线,南京,118.716045,32.144521
安德门站,地铁10号线,南京,118.762001,31.992215
小行站,地铁10号线,南京,118.744681,31.982464
中胜站,地铁10号线,南京,118.733170,31.987911
元通站,地铁10号线,南京,118.721449,31.995471
奥体中心站,地铁10号线,南京,118.718286,32.009065
梦都大街站,地铁10号线,南京,118.721781,32.015473
绿博园站,地铁10号线,南京,118.716735,32.024161
江心洲站,地铁10号线,南京,118.703335,32.031632
临江站,地铁10号线,南京,118.671943,32.061163
浦口万汇城站,地铁10号线,南京,118.659567,32.072866
南京工业大学站,地铁10号线,南京,118.648245,32.066794
龙华路站,地铁10号线,南京,118.635204,32.064712
文德路站,地铁10号线,南京,118.626645,32.057396
雨山路站,地铁10号线,南京,118.615125,32.044496
